R U I
4.0 61 12
10.0 57 11
20.0 50 10
30.0 44 9
40.0 37 8
50.0 31 6
60.0 25 5
70.0 17 3
80.0 13 2
90.0 6 1
96.8 2 0

I_skt = 75
I_max = 0.5
R_skt = 100
U_skt = 75
U_max = 5
