ue = 0.389
rl = 9.5
l = 36e-3
c = 1.5e-6

f ua
0 0
200 0.2066
400 0.2988
450 0.3536
470 0.3840
500 0.4432
530 0.5296
560 0.6650
580 0.8060
600 1.0257
620 1.3956
630 1.6788
640 2.0450
650 2.4337
660 2.6228
680 2.0081
700 1.3295
800 0.4035
1000 0.1441
1500 0.0409
2000 0.0183
